id,code,section,parameter_name,unit,source_pd,source_rd,source_id,trigger_logic,review_priority,legal_criticality,data_type,is_active
41,AR-041,АР,Ширина эвакуационных выходов (дверей),м,Ведомость заполнения проемов (АР),Спецификация дверей (ГОСТ 21.101); Детальные узлы (АР),Паспорта на двери; Акты АОСР (фактический замер),Ширина дверного полотна на путях эвакуации в РД/ИД < 0.9 м.,HIGH,Критическое (приостановка работ),number,TRUE
42,AR-042,АР,Высота путей эвакуации и проемов,м,Разрезы здания; Высотные отметки (АР),Рабочие размеры; Чертежи лестничных клеток (АР),Исполнительная геодезическая схема (высоты интерьеров),Высота коридоров < 2.0 м или дверей < 1.9 м (СП 1.13130).,HIGH,Критическое (приостановка работ),number,TRUE
43,AR-043,АР,Направление открывания эвакуационных дверей,—,Планы этажей; Схемы эвакуации (АР),Рабочие планы; Графические схемы (АР),Акты проверки систем ПЗ; Фотофиксация,Дверь открывается внутрь помещения или блокирует смежный поток эвакуации.,HIGH,Критическое (приостановка работ),exact_field,TRUE
44,AR-044,АР,Послойный состав пирога кровли,мм (слои),Узлы кровли; Разрезы; Спецификация (АР),План кровли; Детальные чертежи; Спецификация (АР),Акты АОСР на устройство кровли,Замена кровельной мембраны на класс ниже; исключение пароизоляционного слоя.,HIGH,Критическое (приостановка работ),number,TRUE
45,AR-045,АР,Уклоны кровли и система водостока,% / °,План кровли; Стрелки уклонов (АР),Рабочий план кровли; Спецификация (АР),Исполнительная схема кровли (нивелировка уклонов и воронок),Уменьшение уклона кровли ниже проектного; сокращение количества воронок.,HIGH,Критическое (приостановка работ),number,TRUE
46,AR-046,АР,Общее количество и габариты оконных блоков,шт. / м²,Ведомость заполнения проемов (АР),Спецификация окон; Рабочие фасады (АР),Сертификаты на окна; Акты приемки конструкций,Сокращение количества окон; уменьшение площади остекления (риск КЕО).,HIGH,Критическое (приостановка работ),number,TRUE
47,AR-047,АР,Габариты и глубина тамбуров входных групп,м,Планы 1 этажа; Входные группы (АР),Детальные чертежи крылец; Спецификация дверей (АР),Исполнительная схема входных групп (фактические обмеры),Глубина тамбура в РД/ИД менее 1.5-1.8 м (невозможность проезда коляски).,HIGH,Критическое (приостановка работ),number,TRUE
48,AR-048,АР,Количество и параметры лестничных маршей и ступеней,шт. / мм,Разрезы лестничных клеток; Планы этажей (АР),Детальные чертежи лестниц; Спецификация (АР),Исполнительная схема лестниц (фактические промеры),Изменение количества ступеней; высота подступенка > 150 мм или проступь < 300 мм.,HIGH,Критическое (приостановка работ),number,TRUE
49,AR-049,АР,"Высота и тип ограждений лестниц, балкона, кровли",м,Фасады; Разрезы; Узлы ограждений (АР),Детальные рабочие чертежи; Спецификация (АР),Акты АОСР на монтаж; Замеры высоты (ИД),Снижение высоты ограждения < 1.2 м для кровли/балкона (СП 54.13330).,HIGH,Критическое (приостановка работ),number,TRUE
50,AR-050,АР,Спецификация и типы внутренней отделки помещений,Класс (КМ),Ведомость отделки (ГОСТ 21.501) (АР),Ведомость отделки; Спецификация ЛКМ/плитки (АР),Сертификаты; Пожарные декларации на материалы,Подмена негорючей отделки (КМ0/КМ1) на горючую (КМ3) на путях эвакуации.,HIGH,Критическое (приостановка работ),number,TRUE
